"R","Metodo","mu1a","mu1b","mu2a","mu2b","mu3a","mu3b","sigma1a","sigma1b","sigma1c","sigma1d","sigma2a","sigma2b","sigma2c","sigma2d","sigma3a","sigma3b","sigma3c","sigma3d","p1","p2","p3","tempo"
1,"EM",1.08490721651309,4.84233925243263,4.45962602518758,1.02948299888879,5.99030361997016,6.91758329831048,1.37597056626178,1.57516435312208,1.57516435312208,5.94547987160571,2.97275848511701,1.11730446277515,1.11730446277515,0.978308998942169,3.41662905654502,-3.09205617429835,-3.09205617429835,5.00616785233135,0.314209088044825,0.33295413281627,0.352836779138905,0.0890109539031982
1,"MCMC",3.517400655625,5.82903917875,3.964809768875,3.418802446125,3.972210445875,3.41798695775,2.466445167,-1.14515616425,-1.14515616425,5.13407876625,2.494729375875,-0.126240955625,-0.126240955625,3.003660043375,2.500641785875,-0.117754791975,-0.117754791975,3.027781463125,0.335797565625,0.33221611475,0.331986329125,77.1410808563232
2,"EM",0.766726134201784,4.71067249319845,3.75684260071732,0.861907253245407,5.93636195307316,7.00620441530211,2.22239381387064,2.22122275671983,2.22122275671983,5.96532099097694,3.00407007090219,0.531505658877777,0.531505658877777,0.644113482259333,3.21845114919703,-2.68197287025779,-2.68197287025779,4.5825847516487,0.338082547870408,0.29512802667672,0.366789425452872,0.0810830593109131
2,"MCMC",2.25184093625,2.782571739625,3.532779873875,3.36363237075,4.63817760975,6.44856641125,2.55299773375,1.0988203378575,1.0988203378575,2.6887820755,2.84233152,-0.05028768412125,-0.05028768412125,2.693728026375,2.9644314475,-1.769888011625,-1.769888011625,4.73450570125,0.315879835625,0.325129688125,0.3589904855,78.5655109882355
3,"EM",1.35024767354101,5.17528044560509,4.03343642507888,1.06884363079754,6.16026196863272,6.75864146242742,1.8361448446979,1.58595452093478,1.58595452093478,6.95922445755182,2.6078513416572,0.822031190888207,0.822031190888207,0.876868086412515,1.89799771567356,-1.6148819257064,-1.6148819257064,3.1676150360478,0.327356301735516,0.340417132287707,0.332226565976776,0.116864919662476
3,"MCMC",2.020608749125,4.103389259875,3.890928293875,3.508086447125,5.629194455,5.349414714875,1.908613237125,1.0320435334975,1.0320435334975,4.605483810125,2.06368040375,0.13639787160375,0.13639787160375,2.7899273365,2.03758719,-1.3002954165,-1.3002954165,2.862750964875,0.329627025,0.334944201875,0.335428769375,84.5410311222076
4,"EM",1.01764659583085,4.88255246055811,3.97296953805746,0.993039920616386,6.03319502463117,7.18935217000988,1.08862446482552,1.04691852863268,1.04691852863268,3.91106317957048,3.80000229507859,1.18201794640099,1.18201794640099,1.1996853493174,1.90529566223476,-1.6535086832858,-1.6535086832858,3.09439198216124,0.296050860363458,0.390204192242619,0.313744947393922,0.0693180561065674
4,"MCMC",2.234948995125,5.3149576825,3.761979546375,3.44340950525,5.03039769,4.042066712125,1.313864769625,0.41009134075,0.41009134075,4.1275271275,2.150433409125,0.255719464375,0.255719464375,2.407693016875,2.44218628375,-0.4675037,-0.4675037,2.17589706825,0.308390866375,0.34423254225,0.347376592,67.9422059059143
5,"EM",0.934756883624371,5.37370220728293,4.07191335600748,1.20037766704205,6.31188962027081,6.52157991201359,1.74536947825082,1.09319296434675,1.09319296434675,2.96710412377981,4.08845289940282,1.60948878272711,1.60948878272711,1.60796184342121,2.82848932763899,-2.8796863670055,-2.8796863670055,4.34020223145221,0.342889773585914,0.326180613702761,0.330929612711324,0.0899660587310791
5,"MCMC",2.438882669125,5.62759844,4.5402044625,4.75866346975,4.6603531375,2.39076642575,2.22965627125,0.542087142125,0.542087142125,4.05999381625,2.3523064375,-0.560169297875,-0.560169297875,3.284441652375,2.5256290825,0.202642560125,0.202642560125,1.85960706625,0.36057203875,0.3314588535,0.30796910725,83.5507740974426
6,"EM",1.08510351719726,5.14565903557205,3.80063185857529,0.974187796593629,6.3396043194001,6.59112693258315,2.45077233852,2.61323050708394,2.61323050708394,5.70775981955744,3.0475681521576,1.06058469155475,1.06058469155475,0.926502002301777,2.91780337479436,-2.74525904250887,-2.74525904250887,4.75075733885171,0.337723005793145,0.345324979812779,0.316952014394076,0.079193115234375
6,"MCMC",3.109297665375,1.978674000625,3.60056215675,5.852418905,4.3080080865,4.854782366125,2.92399078875,1.18266763075,1.18266763075,1.604882179375,2.475606715,-0.966782614875,-0.966782614875,4.35997249125,2.825647087,-0.996951512,-0.996951512,3.682852476125,0.342102553375,0.32636206725,0.3315353805,81.1464459896088
7,"EM",1.11392212281676,5.229323208401,4.30487724614536,1.10807864201642,5.89868827614041,7.10657525001824,1.88532745283233,2.39953004494439,2.39953004494439,7.30582139447917,3.39956421480103,1.12696874057117,1.12696874057117,0.886315950543284,2.87687118645787,-2.72669122093417,-2.72669122093417,4.26830447161807,0.305185026004095,0.349538533563655,0.34527644043225,0.100428819656372
7,"MCMC",2.692605722125,3.12697646825,3.89422404025,3.61030892225,4.717801303375,6.6132739825,2.3849829445,1.36348491425,1.36348491425,3.267052183375,2.715814058875,0.125524171125,0.125524171125,3.049577981,2.738346616,-1.944009998,-1.944009998,4.994928545,0.324708056,0.33656613625,0.33872581025,84.1651079654694
