"R","Metodo","mu1","mu2","sigma1","sigma2","p1","p2","tempo"
1,"EM",1.87415031785648,6.06887292041428,0.932039750436539,1.12688452660831,0.839774485124004,0.160225514875997,0.0239839553833008
1,"MCMC",1.83476689125,5.540424245,0.91612722325,1.449920388125,0.797988408625,0.2020115918,5.85946202278137
2,"EM",2.08431959436135,6.0508144916519,1.01642706841844,0.640331975952881,0.910872859888981,0.0891271401110189,0.00373291969299316
2,"MCMC",2.02553888625,5.28166148125,0.985686623,1.208778876875,0.85482944825,0.1451705495375,7.41770005226135
3,"EM",1.69115547621872,6.47436864602816,0.916248492919212,0.500514088475398,0.880060706597036,0.119939293402964,0.00396513938903809
3,"MCMC",1.66711664125,5.20466104375,1.4556758,0.72093499225,0.732610589625,0.2673894093125,6.53665804862976
4,"EM",1.9728662910129,5.80183684030807,0.90014557688893,0.759046094164808,0.816787218468524,0.183212781531476,0.00810098648071289
4,"MCMC",1.95425578375,5.6211200875,0.90324637125,0.95445809575,0.79733016325,0.2026698364875,6.240807056427
5,"EM",2.10569109245258,5.94928130406096,1.00798100259767,1.3448420249079,0.81378041520935,0.18621958479065,0.0119161605834961
5,"MCMC",2.04645614875,5.29954992375,0.985166831,1.631914662625,0.74400305275,0.255996946875,6.49916982650757
6,"EM",2.29498808814859,2.64095791941095,1.69998303842403,0.161109147244167,0.892455801238199,0.107544198761801,0.0145940780639648
6,"MCMC",1.85122893775,4.828104015,1.075148791875,1.437619121,0.8093255902,0.1906744123125,6.9748101234436
7,"EM",2.06975499897497,6.00632867839015,0.944378928443718,0.741363290096597,0.853758589450153,0.146241410549847,0.00398612022399902
7,"MCMC",2.0434980025,5.50487304875,0.988220622625,1.05764251025,0.807228835125,0.19277116515,6.487144947052
8,"EM",2.14383985569956,6.52336651017215,1.04842171656919,0.680919679354864,0.833362781175725,0.166637218824275,0.00415492057800293
8,"MCMC",2.13316201125,6.41917563875,1.05322172975,0.834890886875,0.820891752125,0.179108248225,5.01345300674438
9,"EM",1.93018455053801,6.19422571067791,0.925682566900212,0.431335363463743,0.90003111533291,0.0999688846670897,0.00305604934692383
9,"MCMC",1.89440999,5.008148925,1.347006055125,0.718948044375,0.7459162975,0.2540836997125,6.12440299987793
10,"EM",2.0469278418738,5.74286785969676,1.12968145828989,0.869148124365283,0.874649353952683,0.125350646047317,0.0179910659790039
10,"MCMC",1.8386228885,4.39950091625,1.01411752,1.494516552125,0.69838111315,0.30161888735,7.14798402786255
11,"EM",1.81921414978609,5.72192722731694,0.817976770961174,1.09021003884835,0.781321501960885,0.218678498039115,0.00366497039794922
