"R","Metodo","mu1","mu2","mu3","sigma1","sigma2","sigma3","p1","p2","p3","tempo"
1,"EM",1.15924550057943,4.08893145966613,6.91548722697442,1.09392768361309,0.828332472850982,0.967508861298789,0.371991424324835,0.275885272628273,0.352123303046892,0.25691294670105
1,"MCMC",1.096043243375,4.08820616125,6.97008878125,1.075348715375,1.016734703625,0.948608424375,0.35080520825,0.31841163275,0.3307831525,49.5071811676025
2,"EM",0.998950960856082,3.96695953817726,6.97817379238179,1.06540610204606,0.970219714033386,1.00074825737142,0.353116955159315,0.319690017838375,0.32719302700231,0.115029811859131
2,"MCMC",0.951117598125,3.9516762,7.02190926125,1.058066619,1.149820983875,0.992248905,0.3320600053125,0.35898187575,0.3089581255375,46.7960748672485
3,"EM",1.13685209461364,3.95397018687847,6.79962564315068,1.01539294320334,0.739285769771906,1.15216039214824,0.352105666464246,0.267701235642317,0.380193097893437,0.093440055847168
3,"MCMC",1.120890356625,3.95973892875,6.82021442625,1.016948454875,0.81272130275,1.14949419575,0.345944711,0.281367175375,0.37268811225,35.235641002655
4,"EM",0.645448743575026,4.2356848052832,7.248741440835,0.859505261412825,1.76137643159274,0.735169211844918,0.244216846723732,0.548546901879878,0.20723625139639,0.0573041439056396
4,"MCMC",0.85045826825,4.0879808875,7.0334971075,0.967142653625,1.122383601,0.90587375025,0.310721927625,0.383889536875,0.30538852795,41.6869029998779
5,"EM",1.00469790482242,4.07008409767934,7.11522519027013,1.02762001129213,1.08196637975633,0.901161028428511,0.340626570227204,0.323606428708306,0.33576700106449,0.146118879318237
5,"MCMC",0.956721682125,4.0596826025,7.14787237375,1.019661309375,1.29408188175,0.8872523505,0.316849511375,0.369194422625,0.313956054375,50.1374249458313
6,"EM",1.00462115552411,4.00841649067235,7.03492608142453,0.986440811313745,1.02810242691821,0.99896738065772,0.344079419240881,0.33983844408417,0.316082136674949,0.215153932571411
6,"MCMC",0.922179187625,3.96716684875,7.093969555,0.945126981125,1.297946097375,0.978894492875,0.3063710016625,0.405594344875,0.288034667,51.0529789924622
7,"EM",0.89429881854877,3.88114953085537,7.04194361121512,0.927452391044703,1.03182785029602,0.940108024598006,0.309799765644246,0.37665250357381,0.313547730781944,0.447835922241211
7,"MCMC",0.881676307,3.871485105,7.05433828375,0.933275625375,1.126052075125,0.947324818375,0.300415792,0.3935010925,0.30608311025,42.3705518245697
8,"EM",0.954946898744039,3.83405264352624,6.96087778999856,0.925376733302988,0.812322450213293,1.02695655918551,0.370050076200804,0.316083128728953,0.313866795070243,0.074923038482666
8,"MCMC",0.957406315875,3.8346239525,6.96444613875,0.935061427875,0.8516214445,1.035033489625,0.36801961475,0.319783815,0.312196573125,32.8162729740143
9,"EM",0.797141408641552,3.97850415651815,6.99396845352534,0.892887996418206,1.11722363824433,0.96628713716917,0.293884508578326,0.385158857249837,0.320956634171837,0.1599440574646
9,"MCMC",0.77436556675,3.9880316275,7.007913485,0.89200018475,1.240908171625,0.971257808125,0.28192828,0.411271576,0.3068001425,45.9968008995056
10,"EM",1.514762534421,4.12706639529896,6.74720211858671,1.1857348362056,0.832967592662006,1.06873849811837,0.417430301654741,0.226262102810403,0.356307595534857,0.227656126022339
10,"MCMC",1.323619093,4.0246981075,6.8663604575,1.124430621625,1.331080326375,1.027381433375,0.3359207494,0.3627496293125,0.301329614675,64.6866998672485
11,"EM",0.774522836632916,4.78408068911958,6.85904685801947,0.829944921321784,2.26924260385187,0.422340407943931,0.260033475328989,0.643200603251753,0.0967659214192579,0.103992223739624
