"R","Metodo","mu1a","mu1b","mu2a","mu2b","mu3a","mu3b","sigma1a","sigma1b","sigma1c","sigma1d","sigma2a","sigma2b","sigma2c","sigma2d","sigma3a","sigma3b","sigma3c","sigma3d","p1","p2","p3","tempo"
1,"EM",1.08490721651309,4.84233925243263,4.45962602518758,1.02948299888879,5.99030361997016,6.91758329831048,1.37597056626178,1.57516435312208,1.57516435312208,5.94547987160571,2.97275848511701,1.11730446277515,1.11730446277515,0.978308998942169,3.41662905654502,-3.09205617429835,-3.09205617429835,5.00616785233135,0.314209088044825,0.33295413281627,0.352836779138905,0.195226907730103
1,"MCMC",2.302039604625,5.30106173375,3.983278781125,3.435729032375,5.21357706625,3.963548041,2.044026104125,0.1092755145,0.1092755145,5.60011429875,2.728800389375,-0.06360625625,-0.06360625625,3.286873729125,3.310196255,-1.2931206445,-1.2931206445,3.32319943675,0.32382487625,0.332346930125,0.343828189125,106.197783946991
2,"EM",0.766726134201784,4.71067249319845,3.75684260071732,0.861907253245407,5.93636195307316,7.00620441530211,2.22239381387064,2.22122275671983,2.22122275671983,5.96532099097694,3.00407007090219,0.531505658877777,0.531505658877777,0.644113482259333,3.21845114919703,-2.68197287025779,-2.68197287025779,4.5825847516487,0.338082547870408,0.29512802667672,0.366789425452872,0.13593602180481
2,"MCMC",2.822314224,4.345083515125,3.53751252775,3.3746237205,4.1026077325,4.91718457775,2.91437009,0.310418673825,0.310418673825,4.054366605,3.2090437375,0.00222464869374999,0.00222464869374999,2.919889551375,3.19093574625,-0.90800943948875,-0.90800943948875,4.00196299475,0.33440323,0.32489909675,0.34069767175,88.242301940918
3,"EM",1.35024767354101,5.17528044560509,4.03343642507888,1.06884363079754,6.16026196863272,6.75864146242742,1.8361448446979,1.58595452093478,1.58595452093478,6.95922445755182,2.6078513416572,0.822031190888207,0.822031190888207,0.876868086412515,1.89799771567356,-1.6148819257064,-1.6148819257064,3.1676150360478,0.327356301735516,0.340417132287707,0.332226565976776,0.122781991958618
3,"MCMC",3.2400410965,4.5307008385,3.899949243,3.519599541875,4.434080963,4.93975108275,2.20450351625,0.280908493335,0.280908493335,4.394210040125,2.3284477475,0.1636167702375,0.1636167702375,3.0279424165,2.2223874575,-0.54655979972,-0.54655979972,3.73943035075,0.332465901625,0.33460584575,0.332928242375,82.6589691638947
4,"EM",1.01764659583085,4.88255246055811,3.97296953805746,0.993039920616386,6.03319502463117,7.18935217000988,1.08862446482552,1.04691852863268,1.04691852863268,3.91106317957048,3.80000229507859,1.18201794640099,1.18201794640099,1.1996853493174,1.90529566223476,-1.6535086832858,-1.6535086832858,3.09439198216124,0.296050860363458,0.390204192242619,0.313744947393922,0.0788028240203857
4,"MCMC",3.0085132345,4.377191686875,3.77638885275,3.445772528375,4.27024941025,4.967824485875,1.87896569775,0.396259789975,0.396259789975,3.68137115175,2.311449197375,0.288944372,0.288944372,2.655264953,2.187388370375,-0.3698567695,-0.3698567695,3.3630041515,0.3268914685,0.34297475725,0.33013376925,83.1293270587921
5,"EM",0.934756883624371,5.37370220728293,4.07191335600748,1.20037766704205,6.31188962027081,6.52157991201359,1.74536947825082,1.09319296434675,1.09319296434675,2.96710412377981,4.08845289940282,1.60948878272711,1.60948878272711,1.60796184342121,2.82848932763899,-2.8796863670055,-2.8796863670055,4.34020223145221,0.342889773585914,0.326180613702761,0.330929612711324,0.117392063140869
5,"MCMC",1.838104028875,4.351190115875,3.3405531795,2.212137418625,6.4882848675,6.3043691225,2.59413201125,1.53511056815,1.53511056815,3.64393010075,2.93707188875,1.37303153925,1.37303153925,2.117165343875,2.46155986375,-2.55623618875,-2.55623618875,4.156143695,0.355884412,0.323630411,0.320485181125,102.621107816696
6,"EM",1.08510351719726,5.14565903557205,3.80063185857529,0.974187796593629,6.3396043194001,6.59112693258315,2.45077233852,2.61323050708394,2.61323050708394,5.70775981955744,3.0475681521576,1.06058469155475,1.06058469155475,0.926502002301777,2.91780337479436,-2.74525904250887,-2.74525904250887,4.75075733885171,0.337723005793145,0.345324979812779,0.316952014394076,0.105279922485352
6,"MCMC",2.3140905555,5.41992715625,3.731342029875,3.429037112875,5.0369248925,3.86324138175,2.40123556,0.228858440875,0.228858440875,4.43778868875,3.158906515,0.159206685875,0.159206685875,2.875885383875,3.46289742875,-1.03767692325,-1.03767692325,3.2214033485,0.326718383375,0.3364543555,0.336827255125,101.401039123535
7,"EM",1.11392212281676,5.229323208401,4.30487724614536,1.10807864201642,5.89868827614041,7.10657525001824,1.88532745283233,2.39953004494439,2.39953004494439,7.30582139447917,3.39956421480103,1.12696874057117,1.12696874057117,0.886315950543284,2.87687118645787,-2.72669122093417,-2.72669122093417,4.26830447161807,0.305185026004095,0.349538533563655,0.34527644043225,0.178867101669312
