"R","Metodo","mu1","mu2","sigma1","sigma2","p1","p2","tempo"
1,"EM",1.83341003816543,6.05783874696376,0.922859769490089,2.92616957435525,0.49116388476293,0.50883611523707,0.0392248630523682
1,"MCMC",1.84786508625,6.165118405,0.9563063495,2.83586934875,0.5037027965,0.4962972035,19.6062200069427
2,"EM",1.9136056837886,6.48678277037093,1.07179567761479,2.81396337994149,0.538469797208594,0.461530202791406,0.0599710941314697
2,"MCMC",1.9277032,6.50280913125,1.0826601735,2.77219008875,0.540257054,0.459742946,18.4299991130829
3,"EM",1.92794469308326,6.0811972752684,1.06516562389989,3.04610813745421,0.505662178805183,0.494337821194817,0.0146441459655762
3,"MCMC",1.93888653125,6.129898315,1.084309515,2.98361667375,0.51145999625,0.48854000375,18.06769490242
4,"EM",1.90244869741103,5.78873840140345,0.796092212812627,2.96391284299625,0.448794099558242,0.551205900441758,0.0473489761352539
4,"MCMC",1.9113608325,5.8057591825,0.812197843125,2.94239626125,0.452973693,0.547026307,15.5892751216888
5,"EM",2.05928986222128,6.54903132091376,1.10799717511305,2.63653559837501,0.570256762250641,0.429743237749359,0.0423848628997803
5,"MCMC",2.0652787975,6.48405117625,1.106430109125,2.63914371625,0.563331832875,0.436668167125,18.0949809551239
6,"EM",2.04518689048122,6.34362380257388,1.06610238301132,2.94725582578845,0.573936668548738,0.426063331451262,0.0331919193267822
6,"MCMC",2.17525929625,5.67717254875,1.650898066,2.58696634975,0.571425744125,0.428574255875,18.7130129337311
7,"EM",1.97113157160001,5.97046537832276,0.807642439683895,3.0679914484834,0.493055139875294,0.506944860124706,0.0223879814147949
7,"MCMC",2.0430443675,5.9896915175,1.02235318475,2.93012930725,0.514859205375,0.485140794625,15.6648669242859
8,"EM",1.99975180027879,6.0297473144703,0.926286751422741,2.77183976566965,0.48252727405831,0.51747272594169,0.0112340450286865
8,"MCMC",2.00944487625,6.03015404625,0.938282448875,2.7510281775,0.484115374125,0.515884625875,17.1679179668427
